,Date,daily_generacion,daily_consumo_combustible,daily_demanda,daily_aportes_energia,daily_volumen_util_energia,daily_disponibilidad_real,daily_precio_bolsa,daily_emision_CO2_eq
19,2013-10-20,150.03316003999998,405.60231999999996,149.65511996,104.6303,9689.0026459,283.84103999999996,202.00125,27931.820000000003
20,2013-10-21,173.76196385,457.5511,172.47915845,138.068,9681.7525227,283.13856,200.85708333333332,32209.969999999998
21,2013-10-22,173.30918391000003,513.34322,172.38490729,171.8751,9722.701605799999,279.49848,259.26916666666665,36914.11999999999
22,2013-10-23,177.00112762,512.43819,176.02355112,125.0216,9716.285901700001,282.98280000000005,263.7054166666667,36558.15000000001
23,2013-10-24,177.26553513,532.03413,175.45593724,117.5759,9702.874107700001,280.92408,265.0741666666667,38005.4
24,2013-10-25,178.84645000999998,519.20935,177.08078863,103.9393,9675.7156691,282.54792,269.51500000000004,36898.5
25,2013-10-26,167.54364393,518.39574,168.03561591,88.9803,9648.3338069,282.92856,276.27791666666667,36629.88999999999
26,2013-10-27,152.77020509,489.36463,151.9266048,111.2351,9652.176472899999,279.95544,260.44874999999996,33690.65
27,2013-10-28,178.55211359,530.66135,176.22255333,101.5642,9613.475859,285.50568,291.9216666666667,37483.759999999995
28,2013-10-29,182.12510712,505.7530699999999,178.91596662999999,92.261,9567.4308738,276.84216000000004,309.7133333333333,35589.25
29,2013-10-30,180.13994939,510.56988000000007,177.43777362999998,109.5192,9545.0430357,274.57583999999997,383.81708333333336,36134.10000000001
30,2013-10-31,175.92751245999997,493.69103,173.34725177,113.11,9530.4866465,273.64080000000007,382.7304166666667,34790.29
31,2013-11-01,174.04229612,531.39911,172.53331005,99.7571,9502.936376799998,282.51984,420.39833333333337,37478.39
32,2013-11-02,163.97870939999999,523.91059,163.96473984,102.2297,9501.7671211,293.04456,350.46583333333336,37370.04
33,2013-11-03,145.11403309,522.50327,145.20946468,109.0573,9526.5517559,151.52664,277.84375,36592.380000000005
34,2013-11-04,149.56838231,464.87014999999997,148.44066171,239.5549,9643.8369196,287.11608,394.7733333333333,32246.32
35,2013-11-05,173.85145303,516.9400400000001,171.1707162,247.2474,9754.9536284,277.71383999999995,331.43416666666667,36149.17
36,2013-11-06,174.35318041000002,516.29038,172.68996678,211.8184,9823.879266700002,167.12808,294.1720833333333,36704.27999999999
37,2013-11-07,174.35635129000002,512.6450399999999,171.42325394,287.6446,9947.7794427,283.55568,229.5625,36575.869999999995
38,2013-11-08,176.49319444999998,495.73529,173.29408222,191.4099,9999.1613993,283.90391999999997,190.95749999999998,35536.53
39,2013-11-09,168.40715505,383.45683999999994,166.18650556,200.4672,10056.2243961,287.67672000000005,169.14916666666667,27862.359999999997
40,2013-11-10,149.21272550999998,378.14941999999996,148.41250454,189.5429,10114.283358,287.2248000000001,156.57916666666668,26934.140000000007
41,2013-11-11,156.59586452,374.94234,153.667305,144.8113,10119.5147822,289.61808,178.36333333333332,26402.51
42,2013-11-12,179.71721018,404.4514899999999,177.85211352000002,171.6916,10138.0297857,291.45984,192.11250000000004,29365.75
43,2013-11-13,182.29051711,449.6854,178.65288619999998,150.9935,10147.915659600001,294.01176,183.9745833333333,32086.67
44,2013-11-14,180.79305227,460.17207999999994,179.52857680000002,168.6541,10176.2695046,289.80672000000004,169.27291666666667,32705.47
45,2013-11-15,182.27507993,480.20843,180.67691756,181.7733,10210.3476501,302.26248,163.41666666666666,33610.670000000006
46,2013-11-16,172.79918798000003,482.60551999999996,172.08762606,131.6207,10202.4803936,297.23447999999996,155.1275,33411.799999999996
47,2013-11-17,155.57500367999998,442.84711000000004,155.13240884,122.1129,10207.7010205,298.878,167.54083333333332,31134.679999999997
48,2013-11-18,179.65515330000002,414.28986999999995,176.91784847,115.1515,10175.8240615,297.99647999999996,167.53083333333333,29335.27
49,2013-11-19,181.06745453,473.78704000000005,178.45760388,152.3233,10185.5517146,288.18768,175.67291666666665,33008.850000000006
50,2013-11-20,178.45318626,456.08348,176.13296373,163.751,10202.401173600001,285.504,173.7579166666666,31820.83
51,2013-11-21,181.27289152999998,470.37609000000003,178.38093192,203.1841,10246.3270079,285.504,178.87666666666664,32837.40000000001
52,2013-11-22,181.42343174,415.25400999999994,178.2350036,125.3246,10233.4495018,300.66384,174.49875000000006,28022.149999999998
53,2013-11-23,173.05514952,425.8428,169.65081738,126.9261,10225.5077562,307.176,166.66791666666668,30157.450000000004
54,2013-11-24,153.23675285,405.20681999999994,151.05291490000002,152.402,10270.000832299998,305.01192,169.43625000000003,29046.319999999996
55,2013-11-25,176.69057489999997,485.85115,173.55664817,163.024,10276.320224899999,297.83832,170.80208333333334,34499.49
56,2013-11-26,179.93387086,479.9141900000001,177.46238274,183.8271,10301.6813766,291.26232,172.34583333333333,34083.59
57,2013-11-27,179.1908515,448.8501,177.09146496,208.1147,10337.7179948,291.68856,153.545,31629.22
58,2013-11-28,182.21928473000003,452.16672,177.47491188,173.3827,10359.202387399999,294.19896,175.6183333333333,31750.589999999993
59,2013-11-29,180.24421575,466.30623,176.00794475,155.7961,10380.7532592,300.08736,176.97041666666667,32726.290000000005
60,2013-11-30,168.12866042,439.6333,164.35481506,207.9504,10436.367710100001,305.01864,230.71124999999998,30253.54
61,2013-12-01,149.67496937,355.14966999999996,146.61662328,241.4196,10518.823498700001,302.33016000000003,183.9466666666667,25356.190000000002
62,2013-12-02,174.04132515,412.3581000000001,170.70323256,307.981,10632.2572069,306.13991999999996,208.31166666666664,29796.97
63,2013-12-03,177.45547569,440.43334000000004,172.9228231,230.4545,10692.7608728,307.58304,172.02083333333334,32926.39
64,2013-12-04,176.95640662,429.81667999999996,174.126649,178.5636,10714.8660442,311.9748000000001,168.59125,32273.19
65,2013-12-05,183.212128,367.03258000000005,178.1162665,150.4304,10722.004626799999,310.92888,152.73166666666665,27265.749999999996
66,2013-12-06,183.55997424,415.46352,178.26228082,148.6718,10723.867027100001,311.29080000000005,159.68583333333333,29244.329999999998
67,2013-12-07,172.37371582,355.4334,167.11231103999998,149.9185,10737.463945700001,306.60456,179.01708333333332,26090.940000000002
68,2013-12-08,153.57072674,368.82228000000003,149.08452545,155.6043,10771.677286799999,306.60456,173.56541666666666,27252.070000000003
69,2013-12-09,179.1049614,373.14149000000003,173.74087507,155.477,10777.2360432,311.33688,189.7579166666667,27038.819999999992
70,2013-12-10,182.53999155000002,424.33613,177.46733271000002,126.5377,10760.460092,310.81608,182.33041666666668,30724.24
71,2013-12-11,185.23554875,386.93475000000007,179.1220814,128.4738,10739.715865,315.49703999999997,178.20125,28475.940000000002
72,2013-12-12,186.17303957,412.24674999999996,179.85592064,118.0917,10710.8799736,318.53688,169.29375000000002,30105.71
73,2013-12-13,184.01516726,372.87243,178.57563059,122.0176,10679.1841868,318.75264000000004,154.58875,28088.19
74,2013-12-14,171.2254135,452.25219,168.13987971,107.9849,10660.4193425,307.22856,173.0333333333333,33381.66
75,2013-12-15,155.64780732,422.14256000000006,153.78271701,140.4534,10683.7273401,305.49144,178.73666666666668,30660.02
76,2013-12-16,179.65555154000003,477.2822699999999,177.98248947,108.6222,10668.741247,302.74992,180.12416666666664,34465.71000000001
77,2013-12-17,182.0936574,483.38923000000005,179.63095297,133.9937,10670.5843274,303.56327999999996,187.17791666666668,35111.420000000006
78,2013-12-18,183.38713389000003,470.38804,178.91424018,130.3142,10665.287977,301.93368,193.10833333333335,33747.38
79,2013-12-19,184.32697833,469.79634999999996,179.03449553000002,128.0479,10655.441282,304.43736,173.18333333333337,33113.14
80,2013-12-20,180.89714353,469.58946000000003,176.11440256999998,105.8017,10636.4271715,315.10944,164.87333333333333,33083.84
